Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
556,Trevor Stienburg,19,QUE,RW,2,1,0,1,0,0,0.1,1,0,0,0,0,0,0,6,16.7,,,stientr01
557,Mike Stothers,23,PHI,D,6,0,1,1,1,6,0.3,0,0,0,0,1,0,0,1,0.0,,,stothmi01
558,Doug Sulliman,26,NJD,RW,73,21,22,43,-11,20,2.1,14,6,1,5,17,5,0,139,15.1,,,sullido01
559,Raimo Summanen,23,EDM,LW,73,19,18,37,9,16,1.4,18,1,0,4,17,1,0,83,22.9,,,summara01
560,Patrik Sundström,24,VAN,C,79,18,48,66,-10,28,3.9,11,6,1,0,29,18,1,154,11.7,,,sundspa01
561,Peter Sundström,24,NYR,LW,53,8,15,23,7,12,1.0,8,0,0,1,15,0,0,63,12.7,,,sundspe01
562,Gary Suter,21,CGY,D,80,18,50,68,11,141,8.0,9,9,0,4,19,30,1,195,9.2,,,suterga01
563,Brent Sutter,23,NYI,C,61,24,31,55,11,74,3.9,14,10,0,2,26,5,0,135,17.8,,,suttebr02
564,Brian Sutter,29,STL,LW,44,19,23,42,-7,87,2.8,11,8,0,1,18,5,0,92,20.7,,,suttebr01
565,Darryl Sutter,27,CBH,LW,50,17,10,27,-15,42,1.2,14,3,0,2,8,2,0,89,19.1,,,sutteda01
566,Duane Sutter,25,NYI,RW,80,20,33,53,14,157,3.0,16,4,0,1,28,5,0,151,13.2,,,suttedu01
567,Rich Sutter,22,PHI,RW,78,14,25,39,29,199,2.3,14,0,0,2,25,0,0,123,11.4,,,sutteri01
568,Ron Sutter,22,PHI,C,75,18,42,60,27,159,4.0,18,0,0,4,38,2,2,146,12.3,,,suttero01
569,Petr Svoboda,19,MTL,D,73,1,18,19,24,93,5.4,1,0,0,0,14,4,0,60,1.7,,,svobope01
570,Phil Sykes,26,LAK,LW,76,20,24,44,-26,97,1.9,17,1,2,4,18,5,1,132,15.2,,,sykesph01
571,Peter Taglianetti,22,WIN,D,18,0,0,0,0,48,0.5,0,0,0,0,0,0,0,8,0.0,,,taglipe01
572,Steve Tambellini,27,VAN,C,48,15,15,30,-17,12,1.7,9,6,0,2,9,6,0,89,16.9,,,tambest01
573,Tony Tanti,22,VAN,RW,77,39,33,72,-8,85,5.9,22,17,0,5,16,16,1,213,18.3,,,tantito01
574,Dave Taylor,30,LAK,RW,76,33,38,71,-15,110,4.9,22,11,0,1,28,10,0,204,16.2,,,tayloda01
575,Mark Taylor,28,WSH,C,30,2,1,3,-4,4,-0.5,2,0,0,0,1,0,0,23,8.7,,,tayloma01
576,Greg Terrion,25,TOR,LW,76,10,22,32,-5,31,0.8,8,0,2,1,21,0,1,105,9.5,,,terrigr01
577,Mats Thelin,24,BOS,D,31,2,3,5,2,29,1.7,1,1,0,0,3,0,0,29,6.9,,,thelima01
578,Michael Thelvén,25,BOS,D,60,6,20,26,7,48,4.7,5,1,0,0,8,11,1,108,5.6,,,thelvmi01
579,Steve Thomas,22,TOR,LW,65,20,37,57,-15,36,3.3,15,5,0,5,31,6,0,197,10.2,,,thomast01
580,Esa Tikkanen,21,EDM,LW,35,7,6,13,6,28,0.2,7,0,0,2,5,1,0,47,14.9,,,tikkaes01
581,Dave Tippett,24,HAR,LW,80,14,20,34,10,18,1.5,12,0,2,1,17,0,3,117,12.0,,,tippeda01
582,Rick Tocchet,21,PHI,RW,69,14,21,35,14,284,1.9,11,3,0,1,19,2,0,109,12.8,,,tocchri01
583,John Tonelli,28,TOT,LW,74,23,45,68,21,60,4.6,19,4,0,2,30,15,0,157,14.6,,,toneljo01
583,John Tonelli,28,NYI,LW,65,20,41,61,22,50,4.2,17,3,0,1,26,15,0,139,14.4,,,toneljo01
583,John Tonelli,28,CGY,LW,9,3,4,7,-1,10,0.4,2,1,0,1,4,0,0,18,16.7,,,toneljo01
584,Mario Tremblay,29,MTL,RW,56,19,20,39,4,55,2.7,16,3,0,3,16,4,0,119,16.0,,,trembma02
585,Bryan Trottier*,29,NYI,C,78,37,59,96,30,72,7.6,31,5,1,3,35,24,0,185,20.0,,,trottbr01
586,John Tucker,21,BUF,C,75,31,34,65,1,39,4.9,23,8,0,4,19,15,0,146,21.2,,,tuckejo01
587,Allan Tuer,22,LAK,D,45,0,1,1,-16,150,0.3,0,0,0,0,1,0,0,16,0.0,,,tueral01
588,Alfie Turcotte,20,MTL,C,2,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,0,,,,turcoal01
589,Sylvain Turgeon,21,HAR,LW,76,45,34,79,1,88,6.6,32,13,0,5,20,14,0,249,18.1,,,turgesy01
590,Perry Turnbull,26,WIN,LW,80,20,31,51,-19,183,2.5,14,6,0,2,27,3,1,167,12.0,,,turnbpe01
591,Rick Vaive,26,TOR,RW,61,33,31,64,-18,85,4.7,21,12,0,1,24,6,1,226,14.6,,,vaiveri01
592,Darren Veitch,25,TOT,D,75,3,14,17,12,29,4.7,3,0,0,0,12,1,1,104,2.9,,,veitcda01
592,Darren Veitch,25,WSH,D,62,3,9,12,21,27,4.5,3,0,0,0,9,0,0,82,3.7,,,veitcda01
592,Darren Veitch,25,DET,D,13,0,5,5,-9,2,0.2,0,0,0,0,3,1,1,22,0.0,,,veitcda01
593,Randy Velischek,23,NJD,D,47,2,7,9,-20,39,0.8,2,0,0,0,7,0,0,24,8.3,,,velisra01
594,Pat Verbeek,21,NJD,C,76,25,27,52,-25,79,2.6,20,4,1,0,19,7,1,159,15.7,,,verbepa01
595,Hannu Virta,22,BUF,D,47,5,23,28,2,16,4.1,4,1,0,0,13,10,0,81,6.2,,,virtaha01
596,Emanuel Viveiros,20,MNS,D,4,0,1,1,2,0,0.3,0,0,0,0,1,0,0,4,0.0,,,viveiem01
597,Ryan Walter,27,MTL,LW,69,15,34,49,-9,45,2.5,6,9,0,1,19,15,0,115,13.0,,,waltery01
598,Bill Watson,21,CBH,RW,52,8,16,24,-4,2,0.6,6,2,0,0,12,4,0,67,11.9,,,watsobi01
599,Tim Watters,26,WIN,D,56,6,8,14,-9,97,2.5,6,0,0,0,7,1,0,37,16.2,,,watteti01
600,Jay Wells,26,LAK,D,79,11,31,42,5,226,5.8,7,4,0,2,21,9,1,113,9.7,,,wellsja01
601,Blake Wesley,26,TOR,D,27,0,1,1,-2,21,0.6,0,0,0,0,1,0,0,11,0.0,,,weslebl01
602,Rob Whistle,24,NYR,D,32,4,2,6,-1,10,1.8,3,1,0,1,1,1,0,30,13.3,,,whistro01
603,Doug Wickenheiser,24,STL,C,36,8,11,19,11,16,1.2,8,0,0,2,8,0,3,53,15.1,,,wickedo01
604,Jim Wiemer,25,NYR,D,7,3,0,3,0,2,0.7,3,0,0,1,0,0,0,22,13.6,,,wiemeji01
605,Brian Wilks,19,LAK,C,43,4,8,12,-7,25,-0.2,4,0,0,0,8,0,0,31,12.9,,,wilksbr01
606,Tiger Williams,31,LAK,LW,72,20,29,49,-7,320,2.8,15,5,0,1,24,5,0,136,14.7,,,williti01
607,Behn Wilson,27,CBH,D,69,13,38,51,-6,113,5.3,3,10,0,6,25,12,1,138,9.4,,,wilsobe02
608,Carey Wilson,23,CGY,C,76,29,29,58,2,24,3.8,24,5,0,2,22,7,0,149,19.5,,,wilsoca01
609,Doug Wilson*,28,CBH,D,79,17,47,64,25,80,8.3,14,3,0,2,30,17,0,243,7.0,,,wilsodo01
610,Rik Wilson,23,TOT,D,34,0,4,4,-5,48,1.1,0,0,0,0,3,1,0,48,0.0,,,wilsori02
610,Rik Wilson,23,STL,D,32,0,4,4,-7,48,1.0,0,0,0,0,3,1,0,45,0.0,,,wilsori02
610,Rik Wilson,23,CGY,D,2,0,0,0,2,0,0.1,0,0,0,0,0,0,0,3,0.0,,,wilsori02
611,Ron Wilson,29,WIN,C,54,6,7,13,-3,16,-0.1,4,0,2,0,7,0,0,64,9.4,,,wilsoro03
612,Ron Wilson,30,MNS,LW,11,1,3,4,-2,8,0.0,0,1,0,0,0,3,0,21,4.8,,,wilsoro02
613,Craig Wolanin,18,NJD,D,44,2,16,18,-7,74,2.0,2,0,0,1,14,2,0,45,4.4,,,wolancr01
614,Ken Yaremchuk,22,CBH,RW,78,14,20,34,-15,43,0.6,14,0,0,2,20,0,0,81,17.3,,,yaremke01
615,Warren Young,30,DET,LW,79,22,24,46,-33,161,2.0,13,9,0,1,16,8,0,92,23.9,,,youngwa01
616,Steve Yzerman*,20,DET,C,51,14,28,42,-22,16,2.1,11,3,0,3,13,15,0,132,10.6,,,yzermst01
617,Peter Zezel,20,PHI,C,79,17,37,54,27,76,3.5,13,4,0,4,24,11,2,146,11.6,,,zezelpe01
618,Rick Zombo,22,DET,D,14,0,1,1,-10,16,-0.1,0,0,0,0,1,0,0,8,0.0,,,zombori01
619,Mike Zuke,31,HAR,C,17,0,2,2,-2,12,-0.4,0,0,0,0,2,0,0,4,0.0,,,zukemi01
